org,dashboard,dashboard_uid,folder_title,folder_id,folder_url,item_source,panel_id,item_id,item_name,url,includeVariables,issue
Firebird,Daily ESP Status,avobtrQ4z222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=5m,True,"url_has_params,target_dashboard_not_found"
Firebird,Daily ESP Status,avobtrQ4z222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Setpoints,Setpoints,/d/de_bMhiSk/setpoints?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing"
Firebird,Daily ESP Status,avobtrQ4z222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Reports,Reports,/d/jis1fNISz/reports?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing"
Firebird,Health Check,V_97O9Q4z222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Health Check,V_97O9Q4z222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=5m&${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Health Check,de1kw7we8rx1cc,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Health Check,de1kw7we8rx1cc,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=5m&${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Health Check,pStOWAcIk,Gas Lift,656,/dashboards/f/fc368e27-7fe4-42b9-a1b3-937e26bf9cb5/gas-lift,dashboard,,Reports,Reports,d/jis1fNISa7/reports,False,"includeVars_false_or_missing,target_uid_mismatch"
Firebird,Production History,u8wA3ocSz,Gas Lift,656,/dashboards/f/fc368e27-7fe4-42b9-a1b3-937e26bf9cb5/gas-lift,dashboard,,Reports,Reports,d/jis1fNISa7/reports,False,"includeVars_false_or_missing,target_uid_mismatch"
Firebird,Production History,W9lC_Bs4z222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${engineer:queryparam}&${division:queryparam}&${field:queryparam}&${foreman:queryparam}&${route:queryparam}&refresh=1m,False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Production History,W9lC_Bs4z222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?${engineer:queryparam}&${division:queryparam}&${field:queryparam}&${foreman:queryparam}&${route:queryparam}&refresh=1m,False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Production History,W9lC_Bs4z,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Production History,W9lC_Bs4z,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=5m&${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Real Time Multi-axis,4YkKH3w4z,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Real Time Multi-axis,4YkKH3w4z,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=1m&${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Real Time Multi-axis,4YkKH3w4z222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Real Time Multi-axis,4YkKH3w4z222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=1m&${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Real Time: Trends,QdGHPbl4z,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Real Time: Trends,QdGHPbl4z,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=1m&${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Reports,jis1fNISz,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Reports,jis1fNISz,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=5m&${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Reports,jis1fNISz222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Reports,jis1fNISz222,Diamond Copy,2245,/dashboards/f/beka900wc0t8gc/diamond-copy,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=5m&${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Setpoints,de_bMhiSk,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Status,Status,/d/avobtrQ4z/daily-status?${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Firebird,Setpoints,de_bMhiSk,Firebird,658,/dashboards/f/b068186f-3291-4309-bd06-acb83844228e/firebird,dashboard,,Quick View,Quick View,/d/LiH8xqw4k/real-time-quick-view?refresh=5m&${Engineer:queryparam}&${Foreman:queryparam}&${Area:queryparam}&${District:queryparam}&${Lease:queryparam}&${Zone:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Daily ESP Status,s6-EeN-Vz,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?refresh=30s,False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Daily ESP Status,s6-EeN-Vz,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Health Check,Health Check,/d/DwPYb484z/health-check,False,includeVars_false_or_missing
Moriah,Daily ESP Status,s6-EeN-Vz,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?refresh=1m,False,"url_has_params,includeVars_false_or_missing"
Moriah,Daily ESP Status,s6-EeN-Vz,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?refresh=30s,False,"url_has_params,includeVars_false_or_missing"
Moriah,Health Check,DwPYb484z,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-status?${Businessunit:queryparam}&${District:queryparam}&${County:queryparam}&${Area:queryparam}&${Lease:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Health Check,DwPYb484z,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time-quick-view?refresh=5m&${Businessunit:queryparam}&${District:queryparam}&${County:queryparam}&${Area:queryparam}&${Lease:queryparam},False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-esp-status,False,"includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?refresh=30s,False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?refresh=1m,True,url_has_params
Moriah,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?refresh=30s,True,url_has_params
Moriah,Real Time: Trends,ldr9mfv4kn,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-esp-status,False,"includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Real Time: Trends,ldr9mfv4kn,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?refresh=30s,False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Real Time: Trends,ldr9mfv4kn,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?refresh=1m,True,url_has_params
Moriah,Real Time: Trends,ldr9mfv4kn,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?refresh=30s,True,url_has_params
Moriah,Reports,ca401882-9c38-49ad-8f0c-f4e8fcf05451,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-esp-status,False,"includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Reports,ca401882-9c38-49ad-8f0c-f4e8fcf05451,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?refresh=30s,False,"url_has_params,includeVars_false_or_missing,target_dashboard_not_found"
Moriah,Reports,ca401882-9c38-49ad-8f0c-f4e8fcf05451,Moriah,412,/dashboards/f/b595cf70-7b6b-4182-89de-8c5232aab886/moriah,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?refresh=1m,True,url_has_params
